Name,Anzahl,Aussaat,pikiert,ID,wie?,wo?,🥕 Sorten
9,10,15. Februar 2025,12. März 2025,8,Anzucht,Anzuchtschale,Habanero (https://www.notion.so/Habanero-17c4cafc0cfe80929893e2d1bb040d52?pvs=21)
12,10,15. Februar 2025,16. März 2025,6,Anzucht,Anzuchtschale,Violetta di Firenze (https://www.notion.so/Violetta-di-Firenze-1834cafc0cfe808186c2ce5c6c414159?pvs=21)
15,35,15. Februar 2025,,5,Anzucht,Quickpot 35R,Odysseus (https://www.notion.so/Odysseus-1844cafc0cfe801ba90ffb41a2c3be94?pvs=21)
16,35,15. Februar 2025,,7,Anzucht,Quickpot 35R,Amabile (https://www.notion.so/Amabile-1844cafc0cfe80bcb996e366f245ac5e?pvs=21)
3,17,15. Februar 2025,12. März 2025,4,Anzucht,Anzuchtschale,Sweet Dreams (https://www.notion.so/Sweet-Dreams-1854cafc0cfe8079b59dfc778f748a3b?pvs=21)
7,22,15. Februar 2025,16. März 2025,2,Anzucht,Anzuchtschale,Red Gunda (https://www.notion.so/Red-Gunda-17c4cafc0cfe80c19e12deb15450e6a0?pvs=21)
1,15,15. Februar 2025,12. März 2025,1,Anzucht,Anzuchtschale,Paprika Mischung F1 (https://www.notion.so/Paprika-Mischung-F1-1854cafc0cfe80378379d0fa7669eb47?pvs=21)
2,17,15. Februar 2025,12. März 2025,3,Anzucht,Anzuchtschale,Corno di Toro Mischung (https://www.notion.so/Corno-di-Toro-Mischung-1854cafc0cfe80e6b4a1f7567f7481b8?pvs=21)
10,22,15. Februar 2025,21. März 2025,12,Anzucht,Anzuchtschale,Prairie Fire (https://www.notion.so/Prairie-Fire-17c4cafc0cfe8071a5c4f4932df2a299?pvs=21)
4,25,15. Februar 2025,12. März 2025,16,Anzucht,Anzuchtschale,Ferenc Tender (https://www.notion.so/Ferenc-Tender-1854cafc0cfe804b8e00e8acae941355?pvs=21)
5,18,15. Februar 2025,14. März 2025,13,Anzucht,Anzuchtschale,Yolo Wonder (https://www.notion.so/Yolo-Wonder-17c4cafc0cfe801a84d4e1018c6f8d0a?pvs=21)
14,11,15. Februar 2025,17. März 2025,10,Anzucht,Anzuchtschale,Mostruosa di New York (https://www.notion.so/Mostruosa-di-New-York-1834cafc0cfe80449d79cc5c95825fa5?pvs=21)
20,15,25. Februar 2025,20. März 2025,19,Anzucht,Anzuchtschale,Fiesta F1 (https://www.notion.so/Fiesta-F1-1a04cafc0cfe805080dae7ebeb8b7e06?pvs=21)
18,9,25. Februar 2025,20. März 2025,18,Anzucht,Anzuchtschale,Blocky Mischung (https://www.notion.so/Blocky-Mischung-1a04cafc0cfe8070b9dde3429e90e661?pvs=21)
8,10,15. Februar 2025,14. März 2025,9,Anzucht,Anzuchtschale,Ruben (https://www.notion.so/Ruben-17c4cafc0cfe80d6bfb8d8ff59ccd22a?pvs=21)
23,30,25. Februar 2025,,17,Anzucht,Anzuchtschale,Austrocapi (https://www.notion.so/Austrocapi-1a04cafc0cfe80d0adcbe709f7d19cc2?pvs=21)
11,20,15. Februar 2025,16. März 2025,14,Anzucht,Anzuchtschale,Zora (https://www.notion.so/Zora-17d4cafc0cfe80899153dc4b02122270?pvs=21)
6,20,15. Februar 2025,14. März 2025,15,Anzucht,Anzuchtschale,Neusiedler Ideal (https://www.notion.so/Neusiedler-Ideal-17c4cafc0cfe80118210ee55165da54c?pvs=21)
13,9,15. Februar 2025,17. März 2025,11,Anzucht,Anzuchtschale,Lucilla F1 (https://www.notion.so/Lucilla-F1-17d4cafc0cfe8042bb82faadddc58713?pvs=21)
22,30,25. Februar 2025,21. März 2025,23,Anzucht,Anzuchtschale,Feher (https://www.notion.so/Feher-1a04cafc0cfe802c8f5dcf392c408107?pvs=21)
21,11,25. Februar 2025,16. März 2025,24,Anzucht,Anzuchtschale,Roter Augsburger (https://www.notion.so/Roter-Augsburger-1a04cafc0cfe8004b2f0c24b7c913f36?pvs=21)
