Name,Anzucht,Art,Bestand,Einheit,Kategorie,URL
Saladin,15. Januar 2025 → 15. Juli 2025,Eis,"0,91",g,Salat Kopf,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/salat/eissalat/saladin-g356
Lucinde,15. Februar 2025,grün,"0,7",g,Salat Kopf,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/salat/kopfsalat/lucinde-g603
Laurenzio,1. März 2025,rot,,g,Salat Kopf,https://www.samenhaus.de/kopfsalat-laurenzio-kopfsalatsamen-von-samen-pfann/a-537433?srsltid=AfmBOorZmcEjcse8e-BjUae4P7_fkPvP1JM_XzW7NBimUsNHobbL0hL3
Wintersonne,1. April 2025 → 5. Juli 2025,gelb,0,g,Rote Beete,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/rote-bete/wintersonne-g768
Tondo di Chioggia,1. April 2025 → 10. Juli 2025,zweifarbig,24,g,Rote Beete,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/rote-bete/tondo-di-chioggia-g349
Lollo Rossa,15. Februar 2025 → 15. Juli 2025,rot,"0,8",g,Salat Pflück,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/salat/lollosalat/lollo-rossa-g380
Jannis,1. April 2025 → 5. Juli 2025,rund,0,g,Rote Beete,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/rote-bete/jannis-g343
Piroska,1. März 2025 → 30. April 2025,rot,0,g,Zwiebel,https://samen-fetzer.de/steckzwiebeln-piroska-rot/20834
Sturon,1. März 2025 → 30. April 2025,gelb,0,g,Zwiebel,https://samen-fetzer.de/steckzwiebeln-sturon/20814
Verdil,1. März 2025 → 15. April 2025,,20,g,Spinat,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/spinatspinat-aehnliche/spinat/winterriesen-verdil-g414
Sora,1. März 2025 → 31. August 2025,rund,10,g,Radies,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/radies/sora-g332
Red Sun,1. März 2025 → 30. April 2025,Schalotte,0,g,Zwiebel,https://samen-fetzer.de/pflanzschalotten-red-sun/20883
Ruca,1. März 2025 → 31. August 2025,,20,g,Salatrauke,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/rucola/ruca-salatrauke-g480
Butterflay,1. März 2025 → 15. April 2025,,0,g,Spinat,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/spinatspinat-aehnliche/spinat/butterflay-g410
Foniro,1. April 2025 → 5. Juli 2025,walzenförmig,4,g,Rote Beete,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/rote-bete/foniro-g341
Kresse,1. Januar 2025 → 31. Dezember 2025,Kresse,,g,Kräuter,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kresse/einfache-kresse-g250
Country Taste F1,15. Februar 2025 → 15. März 2025,Fleisch,0,K,Tomate,https://saatgut-dillmann.de/produkt/fleischtomate-country-taste-f1/
Cuore de Bue,15. Februar 2025 → 15. März 2025,Fleisch,100,K,Tomate,
